01:20:43.271415 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:42031, sz=54 is delivered
01:20:43.273942 [queue=0] packet #1, 127.0.0.1:42031 -> 127.0.0.1:8080, sz=0 is delivered
01:20:43.282003 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:42031, sz=588 is delivered
01:20:43.290586 [queue=0] packet #0, 127.0.0.1:42031 -> 127.0.0.1:8080, sz=588 is delivered
01:22:01.580644 [queue=0] packet #0, 127.0.0.1:52353 -> 127.0.0.1:8080, sz=54 is delivered
01:22:01.580916 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:52353, sz=54 is delivered
01:22:01.583479 [queue=0] packet #1, 127.0.0.1:52353 -> 127.0.0.1:8080, sz=0 is delivered
01:22:01.595584 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:52353, sz=588 is delivered
01:22:01.595876 [queue=0] packet #0, 127.0.0.1:52353 -> 127.0.0.1:8080, sz=588 is delivered
01:22:01.600147 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:52353, sz=0 is delivered
01:22:23.111562 config: drop-rate=0.20, max-delay=0s, seed=1553923343111464978
01:22:23.111747 router is listening at :3000
01:22:27.687343 [queue=0] packet #0, 127.0.0.1:51092 -> 127.0.0.1:8080, sz=54 is dropped
01:22:27.937803 [queue=0] packet #0, 127.0.0.1:51092 -> 127.0.0.1:8080, sz=54 is delivered
01:22:27.938035 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:51092, sz=54 is delivered
01:22:27.940447 [queue=0] packet #1, 127.0.0.1:51092 -> 127.0.0.1:8080, sz=0 is delivered
01:22:27.982217 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:51092, sz=669 is delivered
01:22:27.982467 [queue=0] packet #0, 127.0.0.1:51092 -> 127.0.0.1:8080, sz=669 is delivered
01:22:27.991395 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:51092, sz=0 is dropped
01:25:10.967498 [queue=0] packet #0, 127.0.0.1:43285 -> 127.0.0.1:8080, sz=63 is delivered
01:25:10.967939 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:43285, sz=63 is delivered
01:25:10.969543 [queue=0] packet #1, 127.0.0.1:43285 -> 127.0.0.1:8080, sz=0 is delivered
01:25:10.990332 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:43285, sz=1013 is delivered
01:25:10.990390 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:43285, sz=1013 is delivered
01:25:10.990432 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:43285, sz=1013 is delivered
01:25:10.990465 [queue=0] packet #0, 127.0.0.1:43285 -> 127.0.0.1:8080, sz=1013 is delivered
01:25:10.990514 [queue=0] packet #1, 127.0.0.1:43285 -> 127.0.0.1:8080, sz=1013 is delivered
01:25:10.990570 [queue=0] packet #2, 127.0.0.1:43285 -> 127.0.0.1:8080, sz=1013 is delivered
01:25:10.990602 [queue=0] packet #3, 127.0.0.1:8080 -> 127.0.0.1:43285, sz=19 is delivered
01:25:10.990756 [queue=0] packet #3, 127.0.0.1:43285 -> 127.0.0.1:8080, sz=19 is dropped
01:25:10.993413 [queue=0] packet #3, 127.0.0.1:8080 -> 127.0.0.1:43285, sz=19 is dropped
01:25:10.994555 [queue=0] packet #3, 127.0.0.1:8080 -> 127.0.0.1:43285, sz=19 is dropped
01:25:10.995739 [queue=0] packet #3, 127.0.0.1:8080 -> 127.0.0.1:43285, sz=19 is delivered
01:25:10.995848 [queue=0] packet #3, 127.0.0.1:43285 -> 127.0.0.1:8080, sz=19 is delivered
01:25:10.997397 [queue=0] packet #4, 127.0.0.1:8080 -> 127.0.0.1:43285, sz=0 is delivered
01:29:43.304599 [queue=0] packet #0, 127.0.0.1:38151 -> 127.0.0.1:8080, sz=63 is delivered
01:29:43.304960 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:38151, sz=63 is dropped
01:29:43.363992 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:38151, sz=1013 is delivered
01:29:43.364094 [queue=0] packet #1, 127.0.0.1:8080 -> 127.0.0.1:38151, sz=1013 is delivered
01:29:43.364125 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:38151, sz=1013 is delivered
01:29:43.364155 [queue=0] packet #3, 127.0.0.1:8080 -> 127.0.0.1:38151, sz=19 is delivered
01:29:43.420628 [queue=0] packet #1, 127.0.0.1:38151 -> 127.0.0.1:8080, sz=0 is delivered
01:29:43.479706 [queue=0] packet #0, 127.0.0.1:8080 -> 127.0.0.1:38151, sz=1013 is delivered
01:29:43.479971 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:38151, sz=1013 is delivered
01:29:43.480074 [queue=0] packet #3, 127.0.0.1:8080 -> 127.0.0.1:38151, sz=19 is delivered
01:29:43.480496 [queue=0] packet #0, 127.0.0.1:38151 -> 127.0.0.1:8080, sz=1013 is delivered
01:29:43.480832 [queue=0] packet #2, 127.0.0.1:38151 -> 127.0.0.1:8080, sz=1013 is dropped
01:29:43.485016 [queue=0] packet #3, 127.0.0.1:38151 -> 127.0.0.1:8080, sz=19 is delivered
01:29:43.552059 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:38151, sz=1013 is delivered
01:29:43.618604 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:38151, sz=1013 is delivered
01:29:43.685769 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:38151, sz=1013 is delivered
01:29:43.752532 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:38151, sz=1013 is dropped
01:29:43.819145 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:38151, sz=1013 is dropped
01:29:43.885913 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:38151, sz=1013 is delivered
01:29:43.952377 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:38151, sz=1013 is delivered
01:29:44.019733 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:38151, sz=1013 is dropped
01:29:44.087624 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:38151, sz=1013 is delivered
01:29:44.154726 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:38151, sz=1013 is delivered
01:29:44.221188 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:38151, sz=1013 is delivered
01:29:44.287384 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:38151, sz=1013 is delivered
01:29:44.353729 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:38151, sz=1013 is delivered
01:29:44.419942 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:38151, sz=1013 is delivered
01:29:44.486356 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:38151, sz=1013 is delivered
01:29:44.552972 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:38151, sz=1013 is delivered
01:29:44.619355 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:38151, sz=1013 is delivered
01:29:44.685930 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:38151, sz=1013 is dropped
01:29:44.753449 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:38151, sz=1013 is delivered
01:29:44.823370 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:38151, sz=1013 is delivered
01:29:44.889629 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:38151, sz=1013 is delivered
01:29:44.955963 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:38151, sz=1013 is delivered
01:29:45.023429 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:38151, sz=1013 is delivered
01:29:45.089429 [queue=0] packet #2, 127.0.0.1:8080 -> 127.0.0.1:38151, sz=1013 is dropped
