23:16:27.242143 config: drop-rate=0.00, max-delay=0s, seed=1552533387237143300
12:52:47.559229 [queue=0] packet #0, 172.30.108.235:54316 -> 172.30.108.235:8080, sz=18 is dropped
12:52:52.559799 [queue=0] packet #0, 172.30.108.235:54316 -> 172.30.108.235:8080, sz=18 is dropped
12:52:57.560430 [queue=0] packet #0, 172.30.108.235:54316 -> 172.30.108.235:8080, sz=18 is dropped
12:53:02.560559 [queue=0] packet #0, 172.30.108.235:54316 -> 172.30.108.235:8080, sz=18 is dropped
12:54:07.017148 config: drop-rate=0.00, max-delay=0s, seed=1552928047017148800
12:54:07.020155 failed to listen on port listen udp :3000: bind: Only one usage of each socket address (protocol/network address/port) is normally permitted.
12:54:25.326666 [queue=0] packet #0, 172.30.108.235:54321 -> 172.30.108.235:8080, sz=18 is dropped
12:54:30.327600 [queue=0] packet #0, 172.30.108.235:54321 -> 172.30.108.235:8080, sz=18 is dropped
12:54:43.746307 config: drop-rate=0.00, max-delay=0s, seed=1552928083746307700
12:54:43.751284 router is listening at :3000
12:55:27.793559 [queue=0] packet #0, 172.30.108.235:54324 -> 172.30.108.235:8080, sz=18 is delivered
12:55:27.863818 [queue=0] packet #0, 172.30.108.235:8080 -> 172.30.108.235:54324, sz=357 is delivered
12:56:39.846188 [queue=0] packet #0, 172.30.108.235:54328 -> 172.30.108.235:8080, sz=18 is delivered
12:56:39.851161 [queue=0] packet #0, 172.30.108.235:8080 -> 172.30.108.235:54328, sz=357 is delivered
01:15:52.187873 config: drop-rate=0.00, max-delay=0s, seed=1552972552186873900
01:15:52.188872 failed to listen on port listen udp :3000: bind: Only one usage of each socket address (protocol/network address/port) is normally permitted.
01:16:15.605025 config: drop-rate=0.00, max-delay=0s, seed=1552972575605025600
01:16:15.607133 router is listening at :3000
01:17:14.629966 [queue=0] packet #0, 192.168.0.129:51889 -> 192.168.0.129:8080, sz=18 is delivered
01:17:19.631190 [queue=0] packet #0, 192.168.0.129:51889 -> 192.168.0.129:8080, sz=18 is delivered
01:17:24.631590 [queue=0] packet #0, 192.168.0.129:51889 -> 192.168.0.129:8080, sz=18 is delivered
01:17:29.633435 [queue=0] packet #0, 192.168.0.129:51889 -> 192.168.0.129:8080, sz=18 is delivered
01:17:34.632497 [queue=0] packet #0, 192.168.0.129:51889 -> 192.168.0.129:8080, sz=18 is delivered
01:20:54.712460 config: drop-rate=0.00, max-delay=0s, seed=1552972854711459900
01:20:54.713461 router is listening at :3000
01:21:00.111589 [queue=0] packet #0, 192.168.0.129:63446 -> 192.168.0.129:8080, sz=20 is delivered
01:21:05.111449 [queue=0] packet #0, 192.168.0.129:63446 -> 192.168.0.129:8080, sz=20 is delivered
01:21:10.111931 [queue=0] packet #0, 192.168.0.129:63446 -> 192.168.0.129:8080, sz=20 is delivered
01:22:12.877719 [queue=0] packet #0, 192.168.0.129:57230 -> 192.168.0.129:8080, sz=20 is delivered
01:22:17.876940 [queue=0] packet #0, 192.168.0.129:57230 -> 192.168.0.129:8080, sz=20 is delivered
01:22:22.877901 [queue=0] packet #0, 192.168.0.129:57230 -> 192.168.0.129:8080, sz=20 is delivered
01:22:27.878259 [queue=0] packet #0, 192.168.0.129:57230 -> 192.168.0.129:8080, sz=20 is delivered
